Ref,Val,Package,PosX,PosY,Rot,Side
"C30","100n","C_0805_2012Metric",-30.754000,-3.028000,180.000000,top
"C31","100n","C_0805_2012Metric",20.400000,-41.900000,270.000000,top
"C32","100n","C_0805_2012Metric",-30.100000,20.037500,270.000000,top
"C33","100n","C_0805_2012Metric",-7.700000,-38.300000,90.000000,top
"C34","22u0/25V","C_0805_2012Metric",-13.900000,-29.062500,90.000000,top
"C35","1n00","C_0805_2012Metric",-45.917500,-8.483000,180.000000,top
"C36","10u0/75V","C_1210_3225Metric",12.600000,37.600000,270.000000,top
"C37","10u0/75V","C_1210_3225Metric",-24.900000,37.700000,270.000000,top
"C38","10u0/75V","C_1210_3225Metric",-4.300000,37.900000,270.000000,top
"C39","10u0/75V","C_1210_3225Metric",-28.200000,37.700000,270.000000,top
"C40","1n00","C_0805_2012Metric",-45.917500,-10.642000,180.000000,top
"C41","10n0","C_0805_2012Metric",-30.537500,4.000000,180.000000,top
"C42","10u0/25V","C_0805_2012Metric",-40.629500,-19.889000,270.000000,top
"C43","10u0/75V","C_1210_3225Metric",15.900000,37.600000,270.000000,top
"C44","10u0/75V","C_1210_3225Metric",-7.600000,37.900000,270.000000,top
"C45","100n","C_0805_2012Metric",-52.800000,6.837500,270.000000,top
"C46","100n","C_0805_2012Metric",-32.000000,6.937500,270.000000,top
"C47","1n00","C_0805_2012Metric",-45.917500,-12.801000,180.000000,top
"C48","100n","C_0805_2012Metric",-42.500000,7.100000,270.000000,top
"C49","10u0/25V","C_0805_2012Metric",35.900000,-26.337500,90.000000,top
"C50","22u0/25V","C_0805_2012Metric",-13.900000,-32.762500,270.000000,top
"C51","10u0/75V","C_1210_3225Metric",-31.500000,37.700000,270.000000,top
"C52","10u0/75V","C_1210_3225Metric",9.300000,37.600000,270.000000,top
"C53","10u0/75V","C_1210_3225Metric",-10.900000,37.900000,270.000000,top
"C54","330u","CP_Elec_16x17.5",34.400000,25.700000,180.000000,top
"C56","330u","CP_Elec_16x17.5",38.300000,8.100000,180.000000,top
"D1","BLUE","LED_0805_2012Metric",-38.754000,-24.119499,90.000000,top
"D2","RED","LED_0805_2012Metric",-30.118000,-24.017328,90.000000,top
"D3","GREEN","LED_0805_2012Metric",-34.436000,-24.055999,90.000000,top
"D4","SS210","D_SMA",21.200000,-35.900000,90.000000,top
"D5","B5819W","D_SOD-123",3.500000,-41.500000,0.000000,top
"D6","B5819W","D_SOD-123",14.300000,-49.600000,270.000000,top
"D7","B5819W","D_SOD-123",-1.700000,-33.850000,90.000000,top
"D8","SS210","D_SMA",-4.700000,-32.700000,90.000000,top
"D11","RED","LED_0805_2012Metric",25.037500,-26.800000,180.000000,top
"J1","Conn_01x06","JST_SH_BM06B-SRSS-TB_1x06-1MP_P1.00mm_Vertical",-18.900000,-48.025000,158.000000,top
"J2","Conn_01x06","JST_SH_BM06B-SRSS-TB_1x06-1MP_P1.00mm_Vertical",-7.950000,-51.100000,170.000000,top
"J3","Conn_01x06","JST_SH_BM06B-SRSS-TB_1x06-1MP_P1.00mm_Vertical",-28.775000,-42.600000,145.000000,top
"J5","Conn_01x03","JST_SH_BM03B-SRSS-TB_1x03-1MP_P1.00mm_Vertical",1.950000,-52.075000,180.000000,top
"J12","NTC","2pad_smd_testpin",-20.400000,23.825000,0.000000,top
"J13","T-Motor","JST_SH_BM02B-SRSS-TB_1x02-1MP_P1.00mm_Vertical",-17.575736,-21.321320,315.000000,top
"J15","EXT_OFF","JST_SH_BM06B-SRSS-TB_1x06-1MP_P1.00mm_Vertical",36.000000,-37.000000,221.000000,top
"L1","330u","L_12x12mm_H4.5mm",12.050000,-32.800000,0.000000,top
"L2","4u70","L_Sunlord_MWSA0518_5.4x5.2mm",-9.700000,-32.900000,270.000000,top
"Q1","BSC070N10NS5","TDSON-8-1",-25.350000,43.300000,180.000000,top
"Q2","BSC070N10NS5","TDSON-8-1",-25.650000,32.100000,0.000000,top
"Q3","BSC070N10NS5","TDSON-8-1",15.400000,43.150000,180.000000,top
"Q4","BSC070N10NS5","TDSON-8-1",15.250000,32.000000,0.000000,top
"Q5","BSC070N10NS5","TDSON-8-1",-4.850000,43.400000,180.000000,top
"Q6","BSC070N10NS5","TDSON-8-1",-5.200000,32.200000,0.000000,top
"R1","0r00","R_0805_2012Metric",-26.900000,-34.712500,270.000000,top
"R2","10r0","R_0805_2012Metric",-37.625000,-28.137500,270.000000,top
"R3","10r0","R_0805_2012Metric",-35.325000,-28.087500,270.000000,top
"R4","2k70","R_0805_2012Metric",-20.152005,-41.787500,270.000000,top
"R5","10r0","R_0805_2012Metric",-0.390000,-46.762499,270.000000,top
"R6","2k70","R_0805_2012Metric",-17.850000,-42.637500,270.000000,top
"R7","2k70","R_0805_2012Metric",-15.575000,-43.462500,270.000000,top
"R8","11k0","R_0805_2012Metric",-13.250000,-44.662500,270.000000,top
"R9","1k00","R_0805_2012Metric",-36.595000,-24.119499,90.000000,top
"R10","221r","R_0805_2012Metric",-27.959000,-24.055999,90.000000,top
"R11","221r","R_0805_2012Metric",-32.277000,-24.055999,90.000000,top
"R12","220k","R_0805_2012Metric",20.450000,-46.525000,90.000000,top
"R13","56k0","R_0805_2012Metric",-51.200000,0.637500,270.000000,top
"R14","2k70","R_0805_2012Metric",-53.300000,0.637500,270.000000,top
"R15","100k","R_0805_2012Metric",8.800000,-40.800000,180.000000,top
"R16","11k0","R_0805_2012Metric",8.880001,-45.600000,0.000000,top
"R17","56k0","R_0805_2012Metric",-41.910000,0.468000,270.000000,top
"R18","2k70","R_0805_2012Metric",-39.624000,0.468000,270.000000,top
"R19","56k0","R_0805_2012Metric",-32.638000,0.586500,270.000000,top
"R20","2k70","R_0805_2012Metric",-30.226000,0.586500,270.000000,top
"R21","56k0","R_0805_2012Metric",-49.962500,-15.000000,0.000000,top
"R22","2k70","R_0805_2012Metric",-49.962500,-17.200000,0.000000,top
"R23","2k70","R_0805_2012Metric",8.880001,-47.750000,180.000000,top
"R24","4r75","R_0805_2012Metric",2.900000,-29.500000,0.000000,top
"R25","10r0","R_0805_2012Metric",17.237500,47.200000,180.000000,top
"R26","10r0","R_0805_2012Metric",9.300000,29.900000,180.000000,top
"R27","11k0","R_0805_2012Metric",-1.500000,-42.100000,180.000000,top
"R28","10r0","R_0805_2012Metric",-23.500000,47.600000,180.000000,top
"R29","1k00","R_0805_2012Metric",-50.400000,6.900000,270.000000,top
"R30","1k00","R_0805_2012Metric",-40.300000,7.037500,270.000000,top
"R31","0r001","R_2512_6332Metric",22.300000,37.650000,180.000000,top
"R32","10r0","R_0805_2012Metric",-31.700000,30.100000,180.000000,top
"R33","1k00","R_0805_2012Metric",-29.700000,6.937500,270.000000,top
"R34","11k0","R_0805_2012Metric",-9.900000,-38.337500,270.000000,top
"R35","7k50","R_0805_2012Metric",25.100000,-29.800000,180.000000,top
"R36","11k0","R_0805_2012Metric",-20.437500,19.600000,180.000000,top
"R37","0r00","R_0805_2012Metric",-28.950000,-34.700000,270.000000,top
"R38","4r75","R_0805_2012Metric",2.900000,-31.850000,0.000000,top
"R39","4r75","R_0805_2012Metric",2.850000,-34.200000,0.000000,top
"R40","11k0","R_0805_2012Metric",-24.700000,-34.700000,270.000000,top
"R41","11k0","R_0805_2012Metric",-31.100000,-34.662500,270.000000,top
"R42","10r0","R_0805_2012Metric",-3.862500,47.500000,180.000000,top
"R43","10r0","R_0805_2012Metric",-11.200000,30.200000,180.000000,top
"R44","33k0","R_0805_2012Metric",-12.100000,-38.300000,270.000000,top
"R45","0r001","R_2512_6332Metric",-18.800000,37.800000,180.000000,top
"R46","0r001","R_2512_6332Metric",1.800000,37.800000,180.000000,top
"U1","STM32F405RGTx","LQFP-64_10x10mm_P0.5mm",-35.928200,-10.981400,0.000000,top
"U2","SN74LVC1G66DBVR","M74VHC1GT66DTT1G",-46.000000,0.431800,90.000000,top
"U3","LM5107","SOIC-8_3.9x4.9mm_P1.27mm",-45.000000,18.300000,90.000000,top
"U4","INA240A1","INA240A1QPWRQ1",-49.400001,10.874999,180.000000,top
"U5","INA240A1","INA240A1QPWRQ1",-29.100000,10.900000,180.000000,top
"U6","INA240A1","INA240A1QPWRQ1",-39.400000,10.900000,180.000000,top
"U7","SN74LVC1G66DBVR","M74VHC1GT66DTT1G",-47.100000,6.300000,90.000000,top
"U8","SN74LVC1G66DBVR","M74VHC1GT66DTT1G",-37.100000,6.500000,90.000000,top
"U9","SN74LVC1G66DBVR","M74VHC1GT66DTT1G",-26.293800,6.300000,90.000000,top
"U10","LM5008MM","MSOP-8_3x3mm_P0.65mm",12.800000,-43.375000,270.000000,top
"U11","SN74LVC1G66DBVR","M74VHC1GT66DTT1G",-36.322000,0.508000,90.000000,top
"U12","LM5107","SOIC-8_3.9x4.9mm_P1.27mm",-35.500000,18.400000,90.000000,top
"U13","SN74LVC1G66DBVR","M74VHC1GT66DTT1G",-27.068000,0.431800,90.000000,top
"U14","AQY282S","SO-4_4.4x4.3mm_P2.54mm",26.000000,-42.500000,180.000000,top
"U15","LM5107","SOIC-8_3.9x4.9mm_P1.27mm",-26.065000,18.300000,90.000000,top
"U16","EYSGJNZWY","BLE_EYSGJNZWY",33.300000,-31.500000,90.000000,top
"U17","LMR12010YMKE_NOPB","SOT95P280X110-6N",-4.100000,-38.900000,0.000000,top
"Y1","X50328MSB2GI","Crystal_SMD_5032-2Pin_5.0x3.2mm",-50.174400,-8.150000,270.000000,top
